과목명,강의 내용,원래 가격
모든 개발자를 위한 HTTP 웹 기본 지식,실무에 꼭 필요한 HTTP 핵심 기능과 올바른 HTTP API 설계 방법을 학습합니다.,무료
외워서 끝내는 네트워크 핵심이론 - 기초,TCP/IP에서 HTTP까지! 네트워크에 대한 기본 이론이 부족한 분들이 '외워서'라도 전공 이론을 이해하고자 희망하는 분들을 위해 준비한 강의입니다. 할 수 있습니다!,무료
이해하면 인생이 바뀌는 네트워크 프로그래밍,Npcap 라이브러리를 이용해서 Wireshark 같은 패킷 분석기 프로그램 및 각종 네트워크 솔루션을 직접 개발하려는 분들을 위한 강의 입니다.,무료
개발자를 위한 쉬운 도커,"현업 개발자가 도커를 사용한 경험을 녹여낸 새로운 커리큘럼으로 기존 교재 및 강의와 차별된 강의를 제공합니다.
단순한 명령어 사용법이 아닌 도커를 왜 사용해야하는지 대한 근본적인 질문에서부터 출발합니다.",무료
DevOps를 위한 Docker 가상화 기술 (Private Harbor Registry),"본 강의는 Cloud Native Architecture를 구성하는 4가지 구성요소 중, 컨테이너 가상화 기술에 대해 학습하는 과정입니다. 
Microservice 애플리케이션을 배포하고 운영하기 위한 최선의 방법인 컨테이너 가상화라는 기술에 대한 기본적인 개념을 이해하고, 컨테이너 가상화 기술 중 가장 대중적으로 알려진 Docker 기술에 대해 다뤄보는 학습 과정입니다. MSA 형태로 개발 된 애플리케이션을 배포하고 운영하기 위해 필요한 필수적인 내용에 대해 이론 학습 뿐만 아니라, 관련된 실습 예제를 통해 실제 Docker 컨테이너가 어떻게 작동되는지에 대해 이해하실 수 있습니다. 
본 과정에서는 기존 다른 강의에서 다루지 않았던 Docker Security와 Logging 등과 같은 다양한 요소에 대해서도 학습할 수 있으며, 최종 실습 프로젝트에서는 Docker 기술과 연계될 수 있는 서비스(Harbor + Argocd)들을 구축하고 애플리케이션을 배포 함으로써 DevOps를 적용함에 있어 필요로 하는 핵심적인 운영 환경에 대해 실습해 볼 수 있습니다.","₩88,000"
C# TCP/IP 소켓 프로그래밍,TCP 소켓의 기초 이론과 특징을 배울 수 있습니다. 소켓의 다양한 옵션과 Task 기반 비동기 프로그래밍을 할 수 있습니다.,무료
AWS SAA-C03 자격증 대비-핵심 정리,"오로지 시험 합격을 위해AWS(AWS Certified Solutions Architect-Associate) 자격증 준비를 위한 시험 영역 별 핵심 내용들을 요약, 정리하였습니다.","₩66,000"
AWS SAA-C03 자격증 대비-문제 풀이,'문제 - 답 - 줄줄 읽는 해설'은 이제 그만! AWS SAA 자격증 시험 문제를 풀어나가는 방법과 관련된 지식을 모두 설명한다!,"₩99,000"
외워서 끝내는 네트워크 핵심이론 - 응용,"외워서 끝내는 네트워크 핵심이론 기초과정을 학습한 분들이 한 단계 깊은 이론들을 이해할 수 있도록 안내하는 강의입니다. 인터넷 공유기의 작동 원리인 NAT 기술을 비롯해 부하분산 시스템 원리, VPN 기술 원리 등 좀 더 깊은 이론들을 다룹니다. 이 강의 역시 '외워서' 끝내는 것이 목표입니다! 할 수 있습니다!",무료
실무자가 알려주는 CANoe (For CAN 통신),"자동차 회사에서 널리 사용되는 툴, Vector社의 CANoe 사용 방법을 알아봅니다. 단순 ‘툴 소개 강의’가 아니라 강의를 듣고 신입사원이 곧 바로 실무에 활용할 수 있게 하는 강의입니다.",무료
