과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
아키텍처 설계 및 구현 (기초편),"애플리케이션을 설계 및 구현 하고, Cloud 인프라 아키텍처를 직접 설계, 구성하여 개발된 프로그램을 Cloud 환경에서 실행하는 과정 입니다.",없음,없음,"₩55,000",없음
Spring Cloud로 개발하는 마이크로서비스 애플리케이션(MSA),"Spring framework의 Spring Cloud 제품군을 이용하여 마이크로서비스 애플리케이션을 개발해 보는 과정입니다.  Cloud Native Application으로써의 Spring Cloud를 어떻게 사용하는지, 구성을 어떻게 하는지에 대해 배울 수 있는 강의입니다.",2일만,20%,"₩70,400","₩88,000"
Jenkins를 이용한 CI/CD Pipeline 구축,"본 강의는 클라우드 네이티브 애플리케이션을 구성하는 4가지 핵심 요소(MSA, CI/CD, DevOps, Container) 중 하나인 CI(Continuous Integration, 지속적인 통합)과 CD(Continuous Deployment, 지속적인 배포) 파이프라인에 대한 다루는 강의입니다. 본 강의를 통해 CI/CD 도구인 Jenkins를 이용하여 로컬 환경과 클라우드 환경에 자신만의 자동화 파이프라인을 구축하고, 배포하는 데에 필요한 과정을 이해하고 실습해 볼 수 있습니다.",2일만,20%,"₩70,400","₩88,000"
AWS SAA-C03 자격증 대비-핵심 정리,"오로지 시험 합격을 위해AWS(AWS Certified Solutions Architect-Associate) 자격증 준비를 위한 시험 영역 별 핵심 내용들을 요약, 정리하였습니다.",7일만,25%,"₩49,500","₩66,000"
AWS SAA-C03 자격증 대비-문제 풀이,'문제 - 답 - 줄줄 읽는 해설'은 이제 그만! AWS SAA 자격증 시험 문제를 풀어나가는 방법과 관련된 지식을 모두 설명한다!,7일만,25%,"₩74,250","₩99,000"
실전! GitHub Actions으로 CI/CD 시작하기,"깃헙 액션을 실전에서 효과적으로 활용하고 싶으신가요 ? 이 강의는 실용적인 CI/CD 시나리오, 모듈화 및 버전 관리 방법을 소개하며, 클라우드 환경에서의 배포 방법도 함께 알려드립니다. 실무 경험을 바탕으로 한 가장 현실적인 깃헙 액션 활용법, 함께 배워봅시다!",없음,없음,"₩55,000",없음
"야, 너도 AI 서비스 만들 수 있어. [이미지 AI 서비스 서버리스 풀스택]","AI 반려동물 컨셉 이미지 생성 서비스로 배워보는 서버리스 풀스택 개발, 배포",없음,없음,"₩128,700",없음
AWS 클라우드 이해와 실습,누구나 알기 쉽게 클라우드를 둘러싼 거의 모든 것을 포함하여 설명합니다. 바로 실습보다 먼저 들어두시면 개발이나 인프라 클라우드에 대해서 잘 이해할 수 있게 됩니다.,없음,없음,"₩49,500",없음
처음 만난 AWS,클라우드 컴퓨팅의 기초와 AWS 핵심 서비스들에 대해 이해하고 사용할 수 있습니다.,없음,없음,"₩49,500",없음
OpenStack을 활용한 클라우드 환경 구축하기,"전 세계적으로 유명한 클라우드를 이해하고, 직접 클라우드 환경을 구축하고 쉽게 사용할 수 있는 역량을 강화하는 교육입니다.",없음,없음,"₩33,000",없음
MySQL Geospatial Query를 통한 위치 탐색과 AWS를 활용한 이미지 캐싱,"AWS (S3, CloudFront), MySQL(Geospatial Query)를 활용한 플랫폼 메스어답션 방법에 대해서 알려드립니다.",없음,없음,"₩44,000",없음
