과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
8시간 완성 SQLD(2과목),8시간 안에 끝내는 SQL 기본 및 활용 이론부터 노랭이 전문제 풀이까지,없음,없음,"₩49,500",없음
국가공인 데이터분석준전문가(ADsP) 자격증 대비,"이 강의는 국가공인 데이터분석 준전문가 자격증을 취득하고자 하는 분을 위한 과정입니다. 사회 전반에 걸쳐 데이터 활용에 필수적인 데이터 분석 능력을 객관적으로 검증하여, 공공, 민간 분야의 실무형 데이터 분석 전문가 양성이 필요한 시점에 본 과정을 통해 역량을 갖춘 자격 검정에 응시하고 취득할 수 있도록 구성되어 있습니다.",없음,30%,"₩55,440","₩79,200"
[백문이불여일타] 데이터 분석을 위한 기초 SQL,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 기초 강의. 
SQL 기초 이론을 배우고, 해커랭크 문제 10개를 함께 풀어봅니다.",없음,없음,"₩16,500",없음
시계열 분석과 예측,데이터 분석 전문가로 거듭나기 위한 시계열 강의! 이론과 실기에 강한 분석가가 되어 봅시다!,2일만,30%,"₩30,800","₩44,000"
[2024 개정판] 이것이 진짜 크롤링이다 - 실전편 (인공지능 수익화),"대폭 업그레이드된 컨텐츠, 180도 달라진 강의로 돌아왔습니다.",없음,없음,"₩154,000",없음
진짜 현업에서 쓰이는 직장인의 실무 엑셀 - 데이터 가공부터 분석까지,"현재 엑셀의 가장 트렌디한 방법으로 데이터를 효율적, 과학적으로 가공, 분석함에 '표준'이 되는 과정입니다.",없음,없음,"₩84,700",없음
챗 GPT를 활용한 파이썬 프로그래밍,"파이썬의 기본 문법과 인기 있는 라이브러리를 활용 
챗GPT를 활용한 파이썬 문법과 라이브러리 코드 자동 생성",7일만,25%,"₩82,500","₩110,000"
웹크롤링 with 파이썬,"파이썬 기반의 웹 크롤링 기술을 습득하여, 웹 페이지로부터 데이터를 수집하고, 이를 바탕으로 업무에서 데이터 수집과 분석 능력을 향상시키기 위한 과정입니다.",7일만,25%,"₩41,250","₩55,000"
[2024 리뉴얼] 처음하는 SQL과 데이터베이스(MySQL) 부트캠프 [입문부터 활용까지],"이 강의를 통해 SQL과 데이터베이스의 이해, SQL 문법, 실제 활용을 위한 데이터베이스 설계, 프로그래밍을 통한 데이터베이스 활용, 데이터 분석 활용 사례까지 익힐 수 있습니다.",없음,없음,"₩66,000",없음
실전! SQL 입문,IT 업계에 있다면 SQL은 이제 기본입니다!,없음,없음,"₩44,000",없음
