과목명,강의 내용,원래 가격
비전공자도 이해할 수 있는 DB 설계 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'DB 설계 입문/실전' 강의를 만들어봤습니다!","₩66,000"
"김영한의 실전 자바 - 고급 2편, I/O, 네트워크, 리플렉션","I/O, 네트워크, 리플렉션, 애노테이션을 기초부터 실무 레벨까지 깊이있게 학습합니다.
웹 애플리케이션 서버(WAS)를 자바로 직접 만들어봅니다.",무료
[2024] 한입 크기로 잘라 먹는 리액트(React.js) : 기초부터 실전까지,"개념부터 독특한 프로젝트까지 함께 다뤄보며 자바스크립트와 리액트를 이 강의로 한 번에 끝내요.
학습은 짧게, 응용은 길게 17시간 분량의 All-in-one 강의!","₩48,400"
얄코의 객체지향 디자인 패턴,OODP의 25가지 패턴들을 통해 소프트웨어를 객체지향적으로 설계하는 다양한 방법들을 배웁니다.,"₩22,000"
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part1: C# 기초 프로그래밍 입문,"기초 프로그래밍 지식이 없는 사람들을 위한 C# 프로그래밍 기초 강의입니다.
문법 암기 위주의 수업이 아니라, 최대한 필요한 부분만을 요약해서 진행합니다.","₩44,000"
실리콘밸리 엔지니어와 함께하는 Gradle,효율적인 빌드 관리를 위한 Gradle 마스터 클래스 – 복잡한 빌드를 자동화하고 프로젝트 생산성을 높이는 방법을 배워보세요. 이 강의에서는 Gradle의 핵심 개념과 실무 적용 방법을 자세히 다룹니다. 단시간에 전문가 수준의 빌드 환경을 구축할 수 있습니다.,"₩22,000"
피그마 배리어블을 활용한 디자인 시스템 구축하기,배리어블은 일관된 사용자 경험을 제공하고 디자인 프로세스를 혁신적으로 개선할 수 있는 열쇠입니다. 피그마의 배리어블을 활용하여 함께 디자인 시스템을 만들어보세요!,"₩198,000"
한 입 크기로 잘라먹는 Next.js(15+),한입 시리즈의 3번째 작품! 세상에서 가장 친절하고 디테일 한 Next.js(15+)강의 입니다. App Router 뿐만 아니라 Page Router까지 프로젝트를 통해 살펴봅니다.,"₩48,400"
비전공자도 이해할 수 있는 MySQL 성능 최적화 입문/실전 (SQL 튜닝편),"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'MySQL 성능 최적화 입문/실전 (SQL 튜닝편)' 강의를 만들어봤습니다!","₩77,000"
제대로 파는 HTML CSS - by 얄코,"코알못도 따라올 수 있는 친절하고 쉬운 강좌!
현업 개발자는 HTML & CSS 박사로 들어주는 끝판왕 강좌!","₩44,000"
웹 개발의 기본,웹 개발에 필수적인 기본 개념과 원리를 실습을 통해서 학습합니다.,"₩22,000"
Vue 3 시작하기,Vue.js 최신 버전 Vue 3를 시작하는 분들을 위한 강좌입니다. Vue.js의 동작원리부터 실무 개발을 할 때 알아둬야 하는 기본 개념들을 배워보세요.,"₩44,000"
