과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
한국에서 제일 쉬운 리눅스 커널 강의,"이제 나도 리눅스 커널 분석을 할 수 있다!
리눅스 커널 강의 중에 가장 쉬운 커널 강의.",7일만,30%,"₩77,000","₩110,000"
독하게 시작하는 C 프로그래밍,취미가 아닌 전문 개발자의 길을 가려는 분들을 위한 C언어 프로그래밍 강의입니다. 쓰고 독하게 배워서 달달한 길로 가고 싶은 분들에게 권합니다!,없음,없음,"₩99,000",없음
Windows 시스템 프로그래밍 - 기본,"윈도우 계열 프로그래머가 될 생각이 있는 사람이라면 누구나 들어야 할 필수 강의! C/C+, 자료구조, 운영체제 이론까지 공부했나요? 그렇다면 이제는 시스템 프로그램 공부가 정답입니다. 이제부터는 실전입니다!",없음,없음,"₩110,000",없음
리눅스 커맨드라인 툴 (Full ver.),리눅스 커맨드라인 툴에 대한 강좌 입니다. 자주 사용되는 툴을 엄선해 핵심 기능과 자주 사용되는 옵션에 대해 알려드립니다. 그리고 실습을 통해 실제로 어떻게 사용할 수 있는지 알려드립니다. 여러 가지 리눅스 툴을 잘 사용하게 된다면 리눅스가 편해집니다.  그리고 리눅스를 더 잘 이해하고 더 잘 다루게 됩니다 :),없음,없음,"₩77,000",없음
리눅스 입문 - 개념으로 탄탄히!!,"리눅스의 주요 개념에 대해 공부하시면 리눅스를 더 쉽고, 더 강력하게 다루실 수 있습니다.
기초부터 탄탄히 쌓아나가시길 바랍니다!! :D",없음,없음,"₩77,000",없음
시스템엔지니어 교과서,"시스템 엔지니어링의 기초부터 보안 설정까지, 이 강의가 여러분을 그 길로 안내합니다.",없음,없음,"₩25,300",없음
리눅스 시스템 프로그래밍 - 이론과 실습,본 강좌는 주제별 이론과 프로그래밍 실습을 병행하여 학습 효과를 극대화할 수 있도록 했습니다.,없음,없음,"₩88,000",없음
시스템 소프트웨어 개발을 위한 Arm 아키텍처의 구조와 원리 - 1부 저자 직강 (2024년 버전),"시스템 소프트웨어의 기본 중의 기본,  최신 Arm 아키텍처(Armv8-A, Armv7-A)의 핵심을 ""시스템 소프트웨어 개발을 위한 Arm 아키텍처의 구조와 원리""의 저자가 제대로 잡아드립니다!",없음,없음,"₩132,000",없음
독하게 되새기는 C 프로그래밍,"이 강의는 컴파일러 이론, 스택프레임 구조, 멀티스레드, 가상메모리 구조, 보안 취약점과 시큐어 코딩 등 C언어 기초 공부가 끝난 분들을 위한 주제를 다룹니다. C/C++ 계열 전문가를 희망하거나 CS 전공자 혹은 그에 준하는 실력을 원하는 분들에게 강력히 권합니다!",없음,없음,"₩110,000",없음
실무에서 꼭 필요한 서버 모니터링(Zabbix),"IT 인프라의 효과적인 모니터링을 위한 필수 도구인 자빅스의 기본적인 사용 방법부터 고급 기능까지 체계적으로 학습합니다. 
실제 적용 사례를 통해 자빅스를 활용한 모니터링의 전문가로 성장할 수 있는 기회를 제공합니다",없음,없음,"₩27,500",없음
정보보호시스템 구축 이해,"초급자를 위해 준비한
[자격증 및 실무 (보안 · 네트워크), 보안] 강의입니다.",없음,없음,"₩49,500",없음
자동차 사이버 보안,암호학 기초 이해를 기반으로 자동차 ECU 사이버 보안 (Cyber Security)에 대한 강의입니다.,없음,없음,"₩44,000",없음
