과목명,강의 내용,원래 가격
비전공자도 이해할 수 있는 DB 설계 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'DB 설계 입문/실전' 강의를 만들어봤습니다!","₩66,000"
AWS Certified Solutions Architect - Associate 자격증 준비하기,이 강의를 통해 AWS Certified Solutions Architect - Associate 자격증 준비와 AWS 서비스에 대한 전반적인 내용을 배울 수 있습니다.,무료
초보자를 위한 IT 인프라의 이해,"혹시, IT 인프라(서버, 네트워크, 스토리지 등) 기술에 대해 이해를 못하여 여러움을 겪은 적은 없으신가요?
IT 인프라가 어떻게 구성되고 어떤 기술이 적용되었는지 이해하고 싶으신가요?
IT 인프라를 구성하는 다양한 기술에 대해서 설명하는 국내 유일의 강의입니다!",무료
[코드팩토리] [초급] NestJS REST API 백엔드 완전 정복 마스터 클래스 - NestJS Core,"자바스크립트, 타입스크립트 다음은 백엔드 개발! NestJS를 이용한 REST API 백엔드 개발, Socket IO 개발 및 배포를 할 수 있게 됩니다.",무료
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] 번외편: AWS로 시작하는 서버 운영,"힘들게 만든 서버를 개발 환경에서만 썩힐 수는 없습니다.
본 강의는 AWS을 이용해 외부에서도 접속할 수 있도록 
서버를 운영하는 방법에 대해 학습합니다.","₩44,000"
"롱런하는 슈퍼 개발자가 되기 위한 필수 지식, IT 인프라 기초 총정리",혼자서 서비스 개발과 운영 전반을 소화할 수 있는 슈퍼 개발자로 오랫동안 활동하고 싶다면? 다양한 개발 언어 못지 않게 중요한 IT 인프라 지식을 기초부터 탄탄히 다져보세요!,무료
"[2024] 실무에서 사용하는 클라우드 보안 프로그래밍 (AWS, Python, Terraform)","클라우드를 위한 프로그래밍 언어(Python, Terraform)를 배울 수 있도록 구성되어 있습니다. 클라우드 보안을 담당하면서 간단하지만 귀찮은 반복 업무들이나, 내가 언제 어떻게 배포했는지, CSPM과 같은 솔루션을 통해 해결하지 못하는 우리 회사만의 정책 등을 직접 만들고 적용 할 수 있습니다. 특히 가장 잘나가는 IaC(Infrastructure as Code) 어플리케이션인 테라폼을 통해 배포 전 단계에서 보안을 자동으로 적용하고, 규모가 큰 아키텍처도 빠르게 배포/삭제 할 수 있는 능력을 길러보세요.",무료
[2024] 실무에서 사용중인 AWS 클라우드 IAM 이해와 보안,"AWS 제로트러스트의 근간을 이루고 있는 IAM에 대해 가장 기초적인 부분부터 세부적인 내용까지 배울 수 있습니다. 이를 통해 실제로 어떤 부분이 취약할 수 있는지, 어디를 더욱 신경써야 하는지 배울 수 있습니다.",무료
리눅스 입문 - 개념으로 탄탄히!!,"리눅스의 주요 개념에 대해 공부하시면 리눅스를 더 쉽고, 더 강력하게 다루실 수 있습니다.
기초부터 탄탄히 쌓아나가시길 바랍니다!! :D",무료
AWS 클라우드 이해와 실습,누구나 알기 쉽게 클라우드를 둘러싼 거의 모든 것을 포함하여 설명합니다. 바로 실습보다 먼저 들어두시면 개발이나 인프라 클라우드에 대해서 잘 이해할 수 있게 됩니다.,무료
"풀스택을 위한 도커와 최신 서버 기술(리눅스, nginx, AWS, HTTPS, flask 배포) [풀스택 Part3]","본 강의는 풀스택 강의 시리즈 Part3 강의로 최신 서버 기술과 도커 기술을 탄탄하게 익히는 강의입니다. 본 강의는 실질적으로 도커를 내 기술 스택에 포함시킬 수 있도록, 도커의 다양한 옵션을 한땀한땀 테스트하고, 도커를 위해 이해가 필요한 리눅스등 관련 기술도 익히고, 실제 복잡한 서비스까지 만들어볼 수 있도록 꾸몄습니다.",무료
대용량 채팅 TPS 처리를 위한 웹소켓 통신 만들며 학습하기,"아프리카, 네이버(치지직), 트위치 이러한 스트리밍 플랫폼에서 사용하는 채팅서버를 위한 웹소캣 통신에 대해서 알아보고 실제로 구현을 하는 강의 입니다.",무료
카프카 완벽 가이드 - 커넥트(Connect) 편,카프카 커넥트(Kafka Connect)에 대한 깊이 있는 이론 설명과 현업에서 바로 사용될 수 있는 수준의 상세한 실습을 통해 여러분을 현장에서 필요로 하는 카프카 커넥트 기반의 데이터 연동 및 데이터 파이프라인 구축 전문가로 성장시켜 드릴 것입니다.,무료
처음 만난 AWS,클라우드 컴퓨팅의 기초와 AWS 핵심 서비스들에 대해 이해하고 사용할 수 있습니다.,무료
10만 트래픽 서비스 운영에 적용한 MySQL운영 및 마이그레이션,MySQL을 활용한 마이그레이션 및 직접 DB Server를 운영하는데에 있는 Security를 모두 알려드립니다.,무료
Golang을 통한 백엔드 개발 및 환경 구축하기,"Golang을 통해서 CRUD를 어떻게 구성하는지는 물론, 프론트엔드와 협업할 때 사용 가능한 PostMan 활용법과 Repository 관리 및 환경 구축까지! 실제 실무에서 필요한 지식을 담았습니다.",무료
