과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
이해하면 인생이 바뀌는 Windows API hook,특정 응용 프로그램이 각종 API 함수들을 호출하는 과정을 가로채는 방법을 배워 보안 시스템을 개발할 수 있는 기술을 확보합니다. ※절대 악용금지!!!,없음,없음,"₩66,000",없음
누구도 알려주지 않던 화이트 해커가 되기 위한 로드맵 A to Z,"오펜시브 화이트해커가 되기 위한 모든 것.
엘리트 해커가 되기 위한 길부터 정보보안 시장 정복까지 모든 꿀팁을 하나의 강의에 압축했습니다!",8일만,25%,"₩16,500","₩22,000"
실습으로 마스터하는 OAuth 2.0: 기본부터 보안 위험까지,OAuth 2.0을 구글이나 깃헙같은 계정으로 간편 로그인을 사용해봐서 이미 친숙하게 느껴질지도 모릅니다. 소셜 로그인은 OAuth 2.0을 확장하여 만들어진 것으로 핵심 기술은 OAuth 2.0 인가 프레임워크에 있습니다. OAuth 2.0의 원리를 이해하면 그것을 바탕으로 필요에 맞게 적절히 구현하고 조정하는 능력을 기를 수 있습니다.,오늘까지,30%,"₩15,400","₩22,000"
디지털포렌식 입문자를 위한 디지털포렌식 전문가 2급 실기 시험대비 강의(Encase/Autopsy),"어렵기만 했던 디지털 포렌식(Digital Forensics), 용어부터 답안 작성까지 쉽고 천천히 시작하는 입문자를 위한 디지털포렌식 전문가 2급 실기 강의입니다.",없음,없음,"₩88,000",없음
"AWS 클라우드 서비스 인프라 구축 이해와 해킹, 보안","IT 서비스가 클라우드 환경으로 빠르게 전환되고 있습니다. 아마존 AWS 클라우드 환경 보안을 위해 알아야 할 기본적인 가상 인프라 구축부터, 각 영역별 보안 위협 모니터링, 취약점 진단 관점을 통해 보안 실무를 배우게 됩니다.",없음,없음,"₩132,000",없음
"모의해킹 업무 취업 준비, 면접 대비 과정","이 강의는 IT 보안 모의해킹 업무로 직업을 선택하려고 했을 때, 공부를 하면서 어떻게 준비를 해나가야 할지, 면접을 대비해서 어떤 질문 사례와 답변을 해나가야 하는지 전반적인 가이드를 제공하고 있습니다. 모의해킹 컨설턴트, 대기업, 금융권을 다니며, 현재 모의해킹 컨설팅 사업을 하며 쌓였던 경험을 그대로 전달해드립니다.",없음,없음,"₩66,000",없음
MS Azure 애저 클라우드 서비스 구축 이해와 보안,"IT 서비스가 클라우드 환경으로 빠르게 전환되고 있습니다. MS 애저 클라우드 환경 보안을 위해 알아야 할 기본적인 가상 인프라 구축부터, 각 영역별 서비스 운영, 모니터링 이해, 보안 영역까지 담았습니다.",없음,없음,"₩198,000",없음
이해하면 인생이 바뀌는 네트워크 프로그래밍,Npcap 라이브러리를 이용해서 Wireshark 같은 패킷 분석기 프로그램 및 각종 네트워크 솔루션을 직접 개발하려는 분들을 위한 강의 입니다.,없음,없음,"₩77,000",없음
시스템엔지니어 교과서,"시스템 엔지니어링의 기초부터 보안 설정까지, 이 강의가 여러분을 그 길로 안내합니다.",없음,없음,"₩25,300",없음
CPPG 개인정보관리사 자격증 취득하기 (개정안 반영),최신 법 개정안을 반영하고 최근 출제 경향을 반영하여 제작하였습니다. 개인정보에 대한 이해가 없으셔도 가장 쉽게 이해할 수 있도록 알려드릴 예정입니다. 믿고 따라오세요!,4일만,10%,"₩69,300","₩77,000"
CPPG 자격증 취득 과정 (2024년),"CPPG 자격증 취득의 지름길 CPPG WIN 강의입니다.
최근 6회의 출제 경향을 반영한 2024년 CPPG 자격증 합격을 위한 이론 과정입니다.",없음,없음,"₩396,000",없음
외워서 끝내는 네트워크 핵심이론 - 응용,"외워서 끝내는 네트워크 핵심이론 기초과정을 학습한 분들이 한 단계 깊은 이론들을 이해할 수 있도록 안내하는 강의입니다. 인터넷 공유기의 작동 원리인 NAT 기술을 비롯해 부하분산 시스템 원리, VPN 기술 원리 등 좀 더 깊은 이론들을 다룹니다. 이 강의 역시 '외워서' 끝내는 것이 목표입니다! 할 수 있습니다!",없음,없음,"₩66,000",없음
IT 보안 자동화 업무를 위한 파이썬 프로그램 개발 및 활용,IT 보안 업무를 파이썬을 이용해서 자동으로 반영하면 효율적이겠죠? 본 강의에서는 파이썬과 웹 플라스크 개발을 통해서 업무를 자동화 할 수 있는 아이디어를 하나씩 반영하며 실습을 따라해봅니다.,없음,없음,"₩88,000",없음
"롱런하는 슈퍼 개발자가 되기 위한 필수 지식, IT 인프라 기초 총정리",혼자서 서비스 개발과 운영 전반을 소화할 수 있는 슈퍼 개발자로 오랫동안 활동하고 싶다면? 다양한 개발 언어 못지 않게 중요한 IT 인프라 지식을 기초부터 탄탄히 다져보세요!,없음,없음,"₩55,000",없음
자동차 사이버 보안,암호학 기초 이해를 기반으로 자동차 ECU 사이버 보안 (Cyber Security)에 대한 강의입니다.,없음,없음,"₩44,000",없음
"정보보안기사 실기 - 문제풀이 중심 Part.1 정보보호 일반, 보안과 암호, 접근통제",본 과정을 통해 정보보안기사 실기 기출문제의  단답형 및 서술형 문제를 학습할 수 있습니다.,없음,없음,"₩19,800",없음
스프링 시큐리티 OAuth2,"스프링 시큐리티 OAuth2의 기본 개념부터 API 사용법과 내부 아키텍처를 학습합니다. 아울러 OAuth2 Client, OAuth2 Resource Server, Authorization Server를 통합하여 연동하는 방법을 살펴보고 자체 인가 서버를 구축하며 이를 통해 OAuth2 서비스를 구현하는 방법을 학습하게 됩니다.",없음,없음,"₩121,000",없음
Arm 아키텍처와 리눅스 커널 인터페이스 - 저자직강,"Arm 아키텍처(Armv8-A)와 리눅스 커널 인터페이스의 핵심을 ""시스템 소프트웨어 개발을 위한 Arm 아키텍처의 구조와 원리""의 저자가 제대로 잡아드립니다!",없음,없음,"₩50,600",없음
OpenStack을 활용한 클라우드 환경 구축하기,"전 세계적으로 유명한 클라우드를 이해하고, 직접 클라우드 환경을 구축하고 쉽게 사용할 수 있는 역량을 강화하는 교육입니다.",없음,없음,"₩33,000",없음
