과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
비전공자도 이해할 수 있는 DB 설계 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'DB 설계 입문/실전' 강의를 만들어봤습니다!",없음,30%,"₩46,200","₩66,000"
비전공자도 이해할 수 있는 MySQL 성능 최적화 입문/실전 (SQL 튜닝편),"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'MySQL 성능 최적화 입문/실전 (SQL 튜닝편)' 강의를 만들어봤습니다!",7일만,30%,"₩53,900","₩77,000"
[풀스택 완성] Supabase로 웹사이트 3개 클론하기 (Next.js 14),"풀스택 개발에 날개를 달아줄 Supabase!

3가지의 클론 프로젝트를 통해 Next.js 14와 Supabase로 실무 수준의 풀스택 개발을 하는 법을 속성으로 배우게 됩니다.",오늘까지,30%,"₩53,900","₩77,000"
비전공자도 이해할 수 있는 Redis 입문/실전 (조회 성능 최적화편),"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'Redis 입문/실전 (조회 성능 최적화편)' 강의를 만들어봤습니다!",7일만,30%,"₩53,900","₩77,000"
미국 빅테크 29개의 실습으로 배우는 시스템 디자인 설계,미국 빅테크 시스템을 실제로 설계하는 시스템 디자인 과정입니다.,6일만,24%,"₩139,430","₩185,900"
"파이썬 Streamlit 활용한 웹 자동화 업무, 데이터 검색 및 시각화",파이썬 Streamlit 라이브러리를 활용하여 여러 유형의 데이터를 분석하고 빠르게 시각화 해서 웹 서비스 기반으로 출력하는 방법을 배우게 됩니다. 기존 웹 개발 방식보다 빠르게 업무에 적용하고 싶을 때 활용할 수 있습니다.,없음,없음,"₩44,000",없음
[백문이불여일타] 데이터 분석을 위한 기초 SQL,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 기초 강의. 
SQL 기초 이론을 배우고, 해커랭크 문제 10개를 함께 풀어봅니다.",없음,없음,"₩16,500",없음
[백문이불여일타] 데이터 분석을 위한 중급 SQL,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 중급 강의. 
SQL 중급 이론을 배우고, 실습 문제를 함께 풀어봅니다.",없음,없음,"₩38,500",없음
"BigQuery(SQL) 활용편(퍼널 분석, 리텐션 분석)","Google Analytics 4, Firebase 데이터의 형태의 앱 로그 분석을 진행합니다. 배열, 윈도우 함수, 퍼널, 리텐션, Google Sheets 등 실무에서 사용할 때 유용한 내용들을 담았습니다.",없음,없음,"₩99,000",없음
자바 ORM 표준 JPA 프로그래밍 - 기본편,"JPA를 처음 접하거나, 실무에서 JPA를 사용하지만 기본 이론이 부족하신 분들이
JPA의 기본 이론을 탄탄하게 학습해서 초보자도 실무에서 자신있게 JPA를 사용할 수 있습니다.",없음,없음,"₩121,000",없음
갖고노는 MySQL 데이터베이스 by 얄코,비전공자도 이해할 수 있는 MySQL! 빠른 설명으로 필수개념만 훑은 뒤 사이트의 예제들과 함께 MySQL을 ‘갖고 놀면서’ 손으로 익힐 수 있도록 만든 강좌입니다.,없음,없음,"₩18,700",없음
FastAPI 완벽 가이드,"본 강의는 FastAPI의 핵심 기능과 함께, 웹서비스 개발의 전 과정을 익힐 수 있도록 구성 하였습니다. 본 강의를 통해 여러분을 현장에서 필요로 하는 FastAPI 전문 개발자로 발돋움 시켜 드릴 것입니다.",없음,없음,"₩77,000",없음
스파크 머신러닝 완벽 가이드 - Part 1,"스파크(Spark) 머신러닝의 핵심 Framework에 대한 이해,  난이도 높은 실전 문제를 통한 SQL 기반의 데이터 가공,  업무 도메인 분석을 통한 데이터 분석과 최적화된 머신러닝 모델 구현 능력까지, 대용량 데이터 기반에서 머신러닝 전문가로 인정 받고 싶다면 이 강의와 함께 하십시요.",없음,없음,"₩99,000",없음
대규모 시스템 설계 Part 1,"유명한 논문, 책, 아티클을 통해 글로벌 스케일의 서비스의 공통적인 컴포넌트를 학습해요.",없음,없음,"₩39,600",없음
"[C#/.NET 7.0]어서와, WPF는 처음이지?","WPF를 활용한 Windows Desktop 개발 기초 강의입니다. EntityFrameworkCore를 활용한 DB CRUD를 편하게 하는 방법을 배워가세요. MVVM Design Pattern에 기반한 Programming Skill과 XAML UI Design ""기초""를 알려드립니다. 강의에 사용된 Source Code도 제공해드립니다 :)",없음,없음,"₩88,000",없음
SQLD 2주만에 따는 필승 합격법: 최신 개정판 기출문제로 초단기 공략,"SQL의 이해부터 실제 함수 활용까지, 
최신 기출문제로 마무리하는 SQLD 자격증 완벽 대비!",없음,없음,"₩89,100",없음
"[C#/.NET 8.0]어서와, WinForm은 처음이지?","★.NET 8.0★ Winform을 활용한 Windows Desktop 개발 기초 강의입니다. EntityFrameworkCore를 활용한 DB CRUD를 편하게 하는 방법을 배워가세요. 느슨한 결합에 기반한 클래스 설계 방법과 Form UI Design ""기초""를 알려드립니다. 강의에 사용된 Source Code도 제공해드립니다 :)",없음,없음,"₩66,000",없음
"세 시간만에 끝내는 쿠버네티스부터 마이크로서비스, CI/CD, 서비스 메시까지","도커, 쿠버네티스부터 마이크로서비스, CI/CD, 서비스 메시까지 기초이론 뿐만 아니라, 실제 애플리케이션 구현을 예시를 통해 쉽게 익힐 수 있습니다. 실제 활용에 필요한 핵심 내용만을 정리하여, 강의에서 다루는 요소 기술에 대한 학습 시작점을 제공합니다.",없음,없음,"₩33,000",없음
